label,score
NEGATIVE,0.9922564029693604
NEGATIVE,0.9993064403533936
NEGATIVE,0.6541439890861511
NEGATIVE,0.9501397609710693
NEGATIVE,0.9966205358505249
NEGATIVE,0.9996757507324219
NEGATIVE,0.9996438026428223
NEGATIVE,0.9964983463287354
NEGATIVE,0.9957259893417358
NEGATIVE,0.9967143535614014
NEGATIVE,0.8005483746528625
NEGATIVE,0.9992138147354126
NEGATIVE,0.9994953870773315
NEGATIVE,0.9910323023796082
NEGATIVE,0.9948911666870117
NEGATIVE,0.999721109867096
NEGATIVE,0.9975783228874207
NEGATIVE,0.999669075012207
NEGATIVE,0.9996323585510254
NEGATIVE,0.9995846152305603
NEGATIVE,0.989035427570343
NEGATIVE,0.9638575911521912
NEGATIVE,0.9850842356681824
NEGATIVE,0.7107500433921814
NEGATIVE,0.9994514584541321
NEGATIVE,0.998837411403656
NEGATIVE,0.9993552565574646
NEGATIVE,0.8406557440757751
NEGATIVE,0.9984921216964722
NEGATIVE,0.9949042797088623
NEGATIVE,0.9997490048408508
NEGATIVE,0.9968819618225098
NEGATIVE,0.8467011451721191
NEGATIVE,0.9997790455818176
NEGATIVE,0.9995757937431335
NEGATIVE,0.9207767844200134
NEGATIVE,0.9995933175086975
NEGATIVE,0.9989995360374451
NEGATIVE,0.985169529914856
POSITIVE,0.9790312647819519
NEGATIVE,0.9485636949539185
NEGATIVE,0.9872164130210876
NEGATIVE,0.9994258880615234
POSITIVE,0.5356824398040771
NEGATIVE,0.9949415326118469
NEGATIVE,0.999739944934845
NEGATIVE,0.9950321912765503
NEGATIVE,0.9993923902511597
NEGATIVE,0.9986855387687683
NEGATIVE,0.9996564388275146
NEGATIVE,0.9745654463768005
NEGATIVE,0.9987874627113342
NEGATIVE,0.9970000386238098
POSITIVE,0.9984583854675293
NEGATIVE,0.9933909177780151
NEGATIVE,0.9985255599021912
NEGATIVE,0.9989995360374451
NEGATIVE,0.9977198243141174
NEGATIVE,0.9981637597084045
NEGATIVE,0.9997528195381165
NEGATIVE,0.9329718351364136
POSITIVE,0.9858723282814026
NEGATIVE,0.6715713143348694
NEGATIVE,0.9987665414810181
NEGATIVE,0.7014269828796387
NEGATIVE,0.9985668063163757
NEGATIVE,0.9986894726753235
NEGATIVE,0.9967966675758362
NEGATIVE,0.9976946711540222
NEGATIVE,0.9747401475906372
NEGATIVE,0.9973459243774414
NEGATIVE,0.9788230061531067
NEGATIVE,0.9998130202293396
NEGATIVE,0.9756442904472351
POSITIVE,0.9763686656951904
NEGATIVE,0.9981012940406799
NEGATIVE,0.9994521737098694
NEGATIVE,0.9477766156196594
NEGATIVE,0.9984409213066101
POSITIVE,0.9887371063232422
NEGATIVE,0.9956973791122437
NEGATIVE,0.966978132724762
NEGATIVE,0.9992069602012634
NEGATIVE,0.999091386795044
NEGATIVE,0.9832109212875366
NEGATIVE,0.996563732624054
NEGATIVE,0.9685901999473572
NEGATIVE,0.9991443157196045
NEGATIVE,0.9991984963417053
POSITIVE,0.9660415053367615
NEGATIVE,0.9980983138084412
NEGATIVE,0.9866189360618591
POSITIVE,0.5478882193565369
NEGATIVE,0.9997953772544861
NEGATIVE,0.9994198083877563
NEGATIVE,0.9920424818992615
NEGATIVE,0.9992941617965698
NEGATIVE,0.9890761375427246
NEGATIVE,0.971616804599762
NEGATIVE,0.9993600249290466
NEGATIVE,0.9997650980949402
NEGATIVE,0.9996280670166016
NEGATIVE,0.9853307008743286
